date_time,accel_x,accel_y,accel_z,heart_rate
2019-11-24 18:54:47,-19.0,-90.0,15.0,140.42
2019-11-24 18:54:48,-19.0,-55.0,1.0,140.48
2019-11-24 18:54:49,-16.0,-32.0,4.0,140.55
2019-11-24 18:54:50,-11.0,-77.0,8.0,140.63
2019-11-24 18:54:51,-18.0,-109.0,20.0,140.75
2019-11-24 18:54:52,-22.0,-48.0,5.0,140.82
2019-11-24 18:54:53,-3.0,-68.0,8.0,140.88
2019-11-24 18:54:54,-29.0,-39.0,8.0,140.98
2019-11-24 18:54:55,-26.0,-30.0,12.0,141.07
2019-11-24 18:54:56,-46.0,-56.0,14.0,141.17
2019-11-24 18:54:57,-21.0,-43.0,15.0,141.28
2019-11-24 18:54:58,-40.0,-47.0,14.0,141.37
2019-11-24 18:54:59,-30.0,-54.0,13.0,141.47
2019-11-24 18:55:00,-26.0,-65.0,14.0,141.57
2019-11-24 18:55:01,-12.0,-38.0,6.0,141.67
2019-11-24 18:55:02,-13.0,-25.0,8.0,141.73
2019-11-24 18:55:03,-12.0,-28.0,12.0,141.8
2019-11-24 18:55:04,-10.0,-22.0,8.0,141.85
2019-11-24 18:55:05,-9.0,-32.0,10.0,141.88
2019-11-24 18:55:06,-7.0,-34.0,8.0,141.93
2019-11-24 18:55:07,-5.0,-31.0,10.0,141.97
2019-11-24 18:55:08,-7.0,-43.0,10.0,141.98
2019-11-24 18:55:09,-13.0,-48.0,7.0,141.95
2019-11-24 18:55:10,-20.0,-65.0,17.0,141.95
2019-11-24 18:55:11,-17.0,-34.0,8.0,141.92
2019-11-24 18:55:12,-16.0,-29.0,9.0,141.9
2019-11-24 18:55:13,-14.0,-29.0,6.0,141.85
2019-11-24 18:55:14,-7.0,-30.0,9.0,141.8
2019-11-24 18:55:15,-15.0,-36.0,9.0,141.77
2019-11-24 18:55:16,-13.0,-28.0,10.0,141.72
2019-11-24 18:55:17,-17.0,-22.0,12.0,141.67
