date_time,accel_x,accel_y,accel_z,temp
2019-11-24 18:56:59.718749952,-50.0,42.0,-30.0,32.25
2019-11-24 18:56:59.750000128,-53.0,41.0,-31.0,32.25
2019-11-24 18:56:59.781250048,-55.0,42.0,-32.0,32.25
2019-11-24 18:56:59.812499968,-58.0,42.0,-32.0,32.25
2019-11-24 18:56:59.843749888,-59.0,36.0,-34.0,32.25
2019-11-24 18:56:59.875000064,-58.0,33.0,-33.0,32.25
2019-11-24 18:56:59.906249984,-51.0,23.0,-23.0,32.25
2019-11-24 18:56:59.937499904,-48.0,24.0,-21.0,32.25
2019-11-24 18:56:59.968750080,-45.0,25.0,-21.0,32.25
2019-11-24 18:57:00.000000000,-46.0,27.0,-24.0,32.25
2019-11-24 18:57:00.031249920,-46.0,27.0,-25.0,32.25
2019-11-24 18:57:00.062500096,-47.0,27.0,-25.0,32.25
2019-11-24 18:57:00.093750016,-46.0,27.0,-23.0,32.25
2019-11-24 18:57:00.124999936,-44.0,29.0,-21.0,32.25
2019-11-24 18:57:00.156250112,-44.0,32.0,-21.0,32.25
2019-11-24 18:57:00.187500032,-46.0,33.0,-22.0,32.25
2019-11-24 18:57:00.218749952,-50.0,32.0,-18.0,32.25
2019-11-24 18:57:00.249999872,-51.0,32.0,-18.0,32.25
2019-11-24 18:57:00.281250048,-49.0,34.0,-19.0,32.25
2019-11-24 18:57:00.312499968,-49.0,36.0,-21.0,32.25
2019-11-24 18:57:00.343749888,-50.0,36.0,-24.0,32.25
2019-11-24 18:57:00.375000064,-55.0,35.0,-30.0,32.25
2019-11-24 18:57:00.406249984,-55.0,38.0,-33.0,32.25
2019-11-24 18:57:00.437499904,-57.0,42.0,-38.0,32.25
2019-11-24 18:57:00.468750080,-57.0,38.0,-37.0,32.25
2019-11-24 18:57:00.500000000,-50.0,34.0,-32.0,32.25
2019-11-24 18:57:00.531249920,-46.0,35.0,-30.0,32.25
2019-11-24 18:57:00.562500096,-46.0,36.0,-30.0,32.25
2019-11-24 18:57:00.593750016,-45.0,35.0,-33.0,32.25
2019-11-24 18:57:00.624999936,-44.0,33.0,-32.0,32.25
2019-11-24 18:57:00.656250112,-45.0,29.0,-28.0,32.25
2019-11-24 18:57:00.687500032,-41.0,29.0,-22.0,32.25
2019-11-24 18:57:00.718749952,-41.0,29.0,-20.0,32.25
2019-11-24 18:57:00.750000128,-42.0,32.0,-22.0,32.25
2019-11-24 18:57:00.781250048,-43.0,33.0,-22.0,32.25
2019-11-24 18:57:00.812499968,-43.0,34.0,-22.0,32.25
2019-11-24 18:57:00.843749888,-44.0,35.0,-22.0,32.25
2019-11-24 18:57:00.875000064,-45.0,36.0,-22.0,32.25
2019-11-24 18:57:00.906249984,-47.0,37.0,-21.0,32.25
2019-11-24 18:57:00.937499904,-48.0,37.0,-22.0,32.25
2019-11-24 18:57:00.968750080,-50.0,40.0,-23.0,32.25
2019-11-24 18:57:01.000000000,-53.0,39.0,-22.0,32.25
2019-11-24 18:57:01.031249920,-54.0,39.0,-22.0,32.25
2019-11-24 18:57:01.062500096,-58.0,40.0,-24.0,32.25
2019-11-24 18:57:01.093750016,-58.0,40.0,-26.0,32.25
2019-11-24 18:57:01.124999936,-59.0,36.0,-28.0,32.25
2019-11-24 18:57:01.156250112,-57.0,33.0,-28.0,32.25
2019-11-24 18:57:01.187500032,-56.0,24.0,-25.0,32.25
2019-11-24 18:57:01.218749952,-49.0,23.0,-20.0,32.25
2019-11-24 18:57:01.249999872,-47.0,24.0,-19.0,32.25
2019-11-24 18:57:01.281250048,-45.0,26.0,-19.0,32.25
2019-11-24 18:57:01.312499968,-46.0,25.0,-19.0,32.25
2019-11-24 18:57:01.343749888,-48.0,25.0,-21.0,32.25
2019-11-24 18:57:01.375000064,-50.0,26.0,-22.0,32.25
2019-11-24 18:57:01.406249984,-49.0,28.0,-20.0,32.25
2019-11-24 18:57:01.437499904,-49.0,30.0,-19.0,32.25
2019-11-24 18:57:01.468750080,-50.0,31.0,-19.0,32.25
2019-11-24 18:57:01.500000000,-50.0,32.0,-20.0,32.25
2019-11-24 18:57:01.531249920,-50.0,32.0,-19.0,32.25
2019-11-24 18:57:01.562500096,-49.0,32.0,-18.0,32.25
2019-11-24 18:57:01.593750016,-50.0,33.0,-17.0,32.25
2019-11-24 18:57:01.624999936,-51.0,34.0,-17.0,32.25
2019-11-24 18:57:01.656250112,-52.0,35.0,-18.0,32.25
2019-11-24 18:57:01.687500032,-53.0,36.0,-19.0,32.25
2019-11-24 18:57:01.718749952,-56.0,35.0,-25.0,32.25
2019-11-24 18:57:01.750000128,-58.0,39.0,-31.0,32.25
2019-11-24 18:57:01.781250048,-60.0,38.0,-32.0,32.2525
2019-11-24 18:57:01.812499968,-55.0,34.0,-28.0,32.255
2019-11-24 18:57:01.843749888,-53.0,34.0,-26.0,32.2575
2019-11-24 18:57:01.875000064,-51.0,35.0,-27.0,32.260000000000005
2019-11-24 18:57:01.906249984,-48.0,36.0,-27.0,32.2625
2019-11-24 18:57:01.937499904,-46.0,37.0,-28.0,32.265
2019-11-24 18:57:01.968750080,-47.0,34.0,-29.0,32.267500000000005
2019-11-24 18:57:02.000000000,-47.0,32.0,-28.0,32.27
2019-11-24 18:57:02.031249920,-45.0,30.0,-23.0,32.27
2019-11-24 18:57:02.062500096,-44.0,31.0,-22.0,32.27
2019-11-24 18:57:02.093750016,-43.0,34.0,-19.0,32.27
2019-11-24 18:57:02.124999936,-44.0,34.0,-19.0,32.27
2019-11-24 18:57:02.156250112,-44.0,34.0,-20.0,32.27
2019-11-24 18:57:02.187500032,-45.0,35.0,-19.0,32.27
2019-11-24 18:57:02.218749952,-45.0,36.0,-19.0,32.27
2019-11-24 18:57:02.249999872,-46.0,37.0,-18.0,32.27
2019-11-24 18:57:02.281250048,-48.0,40.0,-20.0,32.27
2019-11-24 18:57:02.312499968,-50.0,42.0,-21.0,32.27
2019-11-24 18:57:02.343749888,-53.0,42.0,-21.0,32.27
2019-11-24 18:57:02.375000064,-54.0,41.0,-20.0,32.27
2019-11-24 18:57:02.406249984,-56.0,40.0,-21.0,32.27
2019-11-24 18:57:02.437499904,-61.0,45.0,-25.0,32.27
2019-11-24 18:57:02.468750080,-62.0,40.0,-24.0,32.27
2019-11-24 18:57:02.500000000,-57.0,29.0,-18.0,32.27
2019-11-24 18:57:02.531249920,-53.0,26.0,-16.0,32.27
2019-11-24 18:57:02.562500096,-49.0,25.0,-13.0,32.27
2019-11-24 18:57:02.593750016,-48.0,25.0,-14.0,32.27
2019-11-24 18:57:02.624999936,-49.0,28.0,-15.0,32.27
2019-11-24 18:57:02.656250112,-50.0,30.0,-16.0,32.27
2019-11-24 18:57:02.687500032,-52.0,29.0,-17.0,32.27
2019-11-24 18:57:02.718749952,-54.0,28.0,-18.0,32.27
2019-11-24 18:57:02.750000128,-55.0,29.0,-19.0,32.27
2019-11-24 18:57:02.781250048,-53.0,30.0,-18.0,32.267500000000005
2019-11-24 18:57:02.812499968,-48.0,31.0,-15.0,32.265
2019-11-24 18:57:02.843749888,-47.0,32.0,-14.0,32.2625
2019-11-24 18:57:02.875000064,-48.0,33.0,-15.0,32.260000000000005
2019-11-24 18:57:02.906249984,-48.0,32.0,-15.0,32.2575
2019-11-24 18:57:02.937499904,-48.0,33.0,-14.0,32.255
2019-11-24 18:57:02.968750080,-50.0,35.0,-13.0,32.2525
